skill,regional_count,regional_total,global_count,LQ
identity theft protection,3397,9487005,3398,2.8699182732223245
us citizenship,2939,9487005,2942,2.867835753564238
401k retirement savings plan,3146,9487005,3150,2.8671176988024127
flexible spending accounts,5897,9487005,5906,2.8663884309355336
malpractice insurance,6017,9487005,6027,2.865999941360322
dea license,3274,9487005,3280,2.8655117163412274
state license,2706,9487005,2711,2.865468455118089
u.s. citizenship,5929,9487005,5940,2.8654468842926213
email alerts,3620,9487005,3627,2.865222626536401
marriage and family therapy,2690,9487005,2696,2.8643741736011448
professional profile,3160,9487005,3168,2.8635137104796393
board certified,3729,9487005,3740,2.8623196913598563
background investigation,2945,9487005,2954,2.8620167114623083
quality food production,3517,9487005,3528,2.861812320261581
401k plan,3952,9487005,3965,2.8613507742052784
['physician,4479,9487005,4494,2.8611811259222524
drug screen,2955,9487005,2965,2.861080943265579
credentials,4093,9487005,4107,2.860977214160012
servsafe certification,3449,9487005,3461,2.8608095851626496
drug screening,4919,9487005,4937,2.860296485577692
